"Account Id","Account Id"
"Dropoff","Dropoff"
"Fedex Gateway Url","Fedex Gateway Url"
"Handling Fee","Handling Fee"
"Package","Package"
"Residential Delivery","Residential Delivery"
"UPS Weight Unit","UPS Weight Unit"
"Fedex Express","Fedex Express"
"Fedex","Fedex"
"Allowed methods","Allowed methods"
"Title","Title"
"",""
"PRIORITYOVERNIGHT - Priority Overnight, STANDARDOVERNIGHT - Standard Overnight, FIRSTOVERNIGHT - First Overnight, FEDEX2DAY - 2Day,FEDEXEXPRESSSAVER - Express Saver,INTERNATIONALPRIORITY - International Priority,INTERNATIONALECONOMY - International Economy,INTERNATIONALFIRST - International First,FEDEX1DAYFREIGHT - 1 Day Freight, FEDEX2DAYFREIGHT - 2 Day Freight, FEDEX3DAYFREIGHT - 3 Day Freight, FEDEXGROUND - Ground, GROUNDHOMEDELIVERY - Home Delivery, INTERNATIONALPRIORITY FREIGHT - Intl Priority Freight, INTERNATIONALECONOMY FREIGHT - Intl Economy Freight, EUROPEFIRSTINTERNATIONALPRIORITY - Europe First Priority","PRIORITYOVERNIGHT - Priority Overnight, STANDARDOVERNIGHT - Standard Overnight, FIRSTOVERNIGHT - First Overnight, FEDEX2DAY - 2Day,FEDEXEXPRESSSAVER - Express Saver,INTERNATIONALPRIORITY - International Priority,INTERNATIONALECONOMY - International Economy,INTERNATIONALFIRST - International First,FEDEX1DAYFREIGHT - 1 Day Freight, FEDEX2DAYFREIGHT - 2 Day Freight, FEDEX3DAYFREIGHT - 3 Day Freight, FEDEXGROUND - Ground, GROUNDHOMEDELIVERY - Home Delivery, INTERNATIONALPRIORITY FREIGHT - Intl Priority Freight, INTERNATIONALECONOMY FREIGHT - Intl Economy Freight, EUROPEFIRSTINTERNATIONALPRIORITY - Europe First Priority"
"REGULARPICKUP - Regular Pickup, REQUESTCOURIER - Request Courier, DROPBOX - Drop Box, BUSINESSSERVICECENTER - Business Service Center, STATION - Station","REGULARPICKUP - Regular Pickup, REQUESTCOURIER - Request Courier, DROPBOX - Drop Box, BUSINESSSERVICECENTER - Business Service Center, STATION - Station"
"FEDEXENVELOPE - FedEx Envelope, FEDEXPAK  - FedEx Pak, FEDEXBOX - FedEx Box, FEDEXTUBE - FedEx Tube, FEDEX10KGBOX - FedEx 10kg Box, FEDEX25KGBOX - FedEx 25kg Box, YOURPACKAGING - Your Packaging","FEDEXENVELOPE - FedEx Envelope, FEDEXPAK  - FedEx Pak, FEDEXBOX - FedEx Box, FEDEXTUBE - FedEx Tube, FEDEX10KGBOX - FedEx 10kg Box, FEDEX25KGBOX - FedEx 25kg Box, YOURPACKAGING - Your Packaging"
"LBS or KGS","LBS or KGS"
