"Table Rate","Tabel de schimb"
"Checkout Description","Descriere casă"
"Export","Export"
"Handling Fee","Cost manipulare"
"Import","Import"
"Table Method","Metodă tabel"
"Table Standard","Tabel standard"
"File at AXIS_ROOT/var/export folder, with shipping rates","Fișierul se află în folderul AXIS_ROOT/var/export, cu ratele de livrare"
"The shipping cost is based on the order total or the total weight of the items ordered or the total number of items orderd.","Costul livrării se bazează pe totalul comenzii sau pe greutatea tuturor produselor comandate sau pe numărul total de produse comandate"
