"Log","Günlük"
"Enabled","Etkin"
"Payment log","Ödeme günlüğü"
"Php log","Kod günlüğü"
"Shipping log","Nakliye günlüğü"
"General","Genel"
"Path relative to AXIS_ROOT","SITE_ROOT göreceli yol"
"Pageviews per Visit","Ziyaret başına gösterim"
"Today Visitors","Bugün ziyaretler"
"Today Pageviews","Bugün gösterimler"
