"Pickup","Самовивіз"
"Handling Fee","Handling Fee"
"Shipping Cost","Shipping Cost"
"Pickup Standard","Самовивіз"
"",""
"The shipping cost for all orders using this shipping method.","The shipping cost for all orders using this shipping method."
