"Table Rate","Tabulková sazba"
"Checkout Description","Popis v pokladně"
"Export","Export"
"Handling Fee","Manipulační poplatek"
"Import","Import"
"Table Method","Metoda"
"Table Standard","Standardní tabulka"
"File will be written to AXIS_ROOT/var/export folder","Soubor bude uložen v adresáři /var/export"
"File at AXIS_ROOT/var/export folder, with shipping rates","Soubor v adresáři /var/export obsahující tabulku cen"
"The shipping cost is based on the order total or the total weight of the items ordered or the total number of items orderd.","Výpočet přepravních nákladů odvozen z hodnoty objednávky, celkové hmotnosti a množství objednaných produktů."
